Iteración,Tiempo Generación Claves (ms),Tiempo Firma (ms),Tiempo Verificación (ms),Tiempo Total (ms)
1,2.9370,68.3110,4.1230,75.3710
2,2.9070,68.2780,4.1130,75.2980
3,2.9090,68.0820,3.9250,74.9160
4,2.9090,68.0910,4.0650,75.0650
5,2.9090,68.0300,3.9590,74.8980
6,2.8980,68.0920,4.1220,75.1120
7,2.9110,68.0810,4.1960,75.1880
8,2.9010,68.0250,4.0660,74.9920
9,2.9140,67.9850,4.1300,75.0290
10,2.9100,68.0070,4.0810,74.9980
11,2.9020,68.0350,3.9750,74.9120
12,2.9050,67.9890,3.9120,74.8060
13,2.9070,67.9720,4.0970,74.9760
14,2.9110,68.0520,3.9890,74.9520
15,2.9400,68.0380,4.1120,75.0900
16,2.9340,67.9950,4.0250,74.9540
17,2.9740,68.0350,4.1810,75.1900
18,2.9120,67.9960,4.0240,74.9320
19,3.0550,67.9790,3.9730,75.0070
20,2.9640,67.9390,4.1430,75.0460
21,2.9300,67.9280,4.1190,74.9770
22,2.9310,67.9570,4.0080,74.8960
23,2.9460,67.9750,4.0220,74.9430
24,2.9240,67.9540,3.9850,74.8630
25,2.9070,67.9950,4.1950,75.0970
26,2.9250,68.0290,4.1950,75.1490
27,2.9270,68.0130,3.8630,74.8030
28,2.9110,67.9960,4.2050,75.1120
29,2.9360,68.0800,3.9420,74.9580
30,2.9190,68.0150,4.1030,75.0370
31,2.9190,68.0680,4.0640,75.0510
32,2.9370,68.0680,4.0600,75.0650
33,3.0090,68.0570,4.0990,75.1650
34,2.9890,67.9790,4.0140,74.9820
35,2.9340,67.9110,3.8640,74.7090
36,2.9070,67.8070,4.0000,74.7140
37,2.9340,67.7860,4.1720,74.8920
38,2.9330,67.8710,4.2720,75.0760
39,2.9300,68.0590,3.9980,74.9870
40,2.9410,68.0250,3.9530,74.9190
41,2.9600,68.0380,4.0790,75.0770
42,2.9730,68.0520,3.9700,74.9950
43,2.9380,68.0270,4.0010,74.9660
44,2.9150,68.0100,4.2000,75.1250
45,2.9310,68.0030,4.0190,74.9530
46,2.9270,67.9510,3.9290,74.8070
47,2.9150,67.9320,4.0530,74.9000
48,2.9080,67.9630,4.1280,74.9990
49,2.9110,68.0950,4.0300,75.0360
50,2.9200,68.2800,4.2280,75.4280
51,2.9090,68.1640,3.9160,74.9890
52,2.9180,68.5420,3.8440,75.3040
53,2.9150,67.9590,3.8570,74.7310
54,2.9190,67.9190,4.0610,74.8990
55,2.9190,67.9040,3.9910,74.8140
56,2.9170,67.9060,4.0520,74.8750
57,2.9440,67.9050,4.1620,75.0110
58,2.9250,67.9180,3.9040,74.7470
59,2.9020,67.9730,4.0470,74.9220
60,2.9150,67.9210,4.0000,74.8360
61,2.9110,67.9450,4.0250,74.8810
62,2.9090,67.9730,4.0330,74.9150
63,2.9290,67.9280,3.9960,74.8530
64,2.9390,67.8760,4.0640,74.8790
65,2.9330,67.9950,3.9840,74.9120
66,2.9110,67.9940,4.1140,75.0190
67,2.9330,68.0120,4.0550,75.0000
68,2.9220,68.1360,3.9950,75.0530
69,2.9310,68.0500,3.8700,74.8510
70,2.9250,68.0320,4.1350,75.0920
1,4.2900,110.1060,5.8700,120.2660
2,4.2530,109.9450,5.8900,120.0880
3,4.2630,110.0350,5.9160,120.2140
4,4.2560,110.0040,6.0600,120.3200
5,4.2620,109.9950,5.8760,120.1330
6,4.3120,109.9600,5.8860,120.1580
7,4.3380,109.9250,5.7790,120.0420
8,4.3420,109.9880,5.9420,120.2720
9,4.2630,109.9290,5.9200,120.1120
10,4.2480,109.9320,5.7740,119.9540
11,4.2720,109.9380,5.8690,120.0790
12,4.2840,109.9030,5.9280,120.1150
13,4.3300,109.9080,5.8420,120.0800
14,4.2980,109.9960,5.8760,120.1700
15,4.2800,109.9760,5.7450,120.0010
16,4.2650,109.9580,5.8520,120.0750
17,4.2640,109.9520,5.7400,119.9560
18,4.2560,109.9310,5.9290,120.1160
19,4.2780,109.9390,5.9430,120.1600
20,4.2610,110.0540,5.8660,120.1810
21,4.3340,110.2710,5.9070,120.5120
22,4.2820,109.9390,6.1640,120.3850
23,4.2980,109.9130,5.8370,120.0480
24,4.2860,109.8990,5.8450,120.0300
25,4.2820,109.9220,6.0600,120.2640
26,4.2920,109.8970,5.9080,120.0970
27,4.2860,109.8950,5.8850,120.0660
28,4.3140,110.7700,6.0290,121.1130
29,4.3210,110.8680,5.7520,120.9410
30,4.2640,109.9230,5.9350,120.1220
31,4.2500,109.9180,5.8290,119.9970
32,4.2530,109.8930,6.0250,120.1710
33,4.2460,109.8890,5.8610,119.9960
34,4.2510,109.9020,5.6880,119.8410
35,4.2570,109.9250,5.9120,120.0940
36,4.2550,109.8860,5.8430,119.9840
37,4.2500,109.8690,5.8010,119.9200
38,4.2550,109.8980,5.9430,120.0960
39,4.2610,109.9050,5.8130,119.9790
40,4.2550,109.9030,5.9250,120.0830
41,4.2550,109.8860,6.0310,120.1720
42,4.2590,109.8380,5.8500,119.9470
43,4.2680,109.8720,5.9020,120.0420
44,4.2840,109.8460,5.8590,119.9890
45,4.2840,109.9070,5.9360,120.1270
46,4.3020,109.8750,5.8900,120.0670
47,4.3500,109.8840,5.9320,120.1660
48,4.3090,109.8790,6.0420,120.2300
49,4.2700,109.8870,5.9000,120.0570
50,4.2570,110.0610,6.0560,120.3740
51,4.2740,109.9660,6.0390,120.2790
52,4.2680,109.9130,6.1320,120.3130
53,4.2720,109.8810,5.8750,120.0280
54,4.2610,109.9000,5.9270,120.0880
55,4.2520,109.8480,5.8400,119.9400
56,4.2580,109.8610,5.8730,119.9920
57,4.2530,109.8810,5.9240,120.0580
58,4.2550,109.9060,5.9730,120.1340
59,4.2630,109.9000,5.8940,120.0570
60,4.2700,109.8940,5.8640,120.0280
61,4.2550,109.8920,5.8740,120.0210
62,4.2550,109.8950,5.9260,120.0760
63,4.2610,109.8620,5.8090,119.9320
64,4.2600,109.8910,5.8810,120.0320
65,4.2700,109.8900,5.9520,120.1120
66,4.2560,109.8760,5.8740,120.0060
67,4.2490,109.8850,5.9430,120.0770
68,4.2510,109.9200,5.9080,120.0790
69,4.2520,109.8940,5.8610,120.0070
70,4.2570,109.8880,6.0130,120.1580
1,11.4230,226.0950,5.9810,243.4990
2,11.3070,225.6190,5.9740,242.9000
3,11.3670,225.5440,5.8180,242.7290
4,11.4940,225.6980,5.9730,243.1650
5,11.3640,225.8430,5.9900,243.1970
6,11.3860,225.6300,6.0560,243.0720
7,11.3880,225.3690,5.9200,242.6770
8,11.3300,225.6250,5.8830,242.8380
9,11.2920,225.9230,5.9890,243.2040
10,11.3200,225.4480,5.8850,242.6530
11,11.3190,225.4360,6.1400,242.8950
12,11.3140,225.5370,6.1060,242.9570
13,11.3450,225.5550,6.0850,242.9850
14,11.2620,225.5040,5.9390,242.7050
15,11.3270,225.4560,5.9780,242.7610
16,11.2570,225.4830,5.9620,242.7020
17,11.2440,225.4400,5.9770,242.6610
18,11.2390,225.3500,5.9610,242.5500
19,11.2070,225.4320,6.0470,242.6860
20,11.2650,225.4250,6.0100,242.7000
21,11.2650,225.5000,6.0230,242.7880
22,11.3250,225.6450,6.1760,243.1460
23,11.2990,225.5200,6.0880,242.9070
24,11.3400,225.4760,6.0350,242.8510
25,11.3500,225.3900,6.0520,242.7920
26,11.3040,225.5560,6.0640,242.9240
27,11.3740,225.4600,5.8290,242.6630
28,11.3190,225.5650,6.0690,242.9530
29,11.3240,225.4080,6.1800,242.9120
30,11.3080,225.5070,5.9970,242.8120
31,11.2940,225.4040,6.1220,242.8200
32,11.2760,225.4910,6.1210,242.8880
33,11.2930,225.5190,6.0530,242.8650
34,11.2250,225.6400,5.8650,242.7300
35,11.2590,225.4920,6.1650,242.9160
36,11.2850,225.4460,5.9140,242.6450
37,11.2800,225.3610,6.0990,242.7400
38,11.2710,225.3260,5.9800,242.5770
39,11.2710,225.3880,5.9320,242.5910
40,11.2730,225.5510,5.9330,242.7570
41,11.2690,225.3160,5.9060,242.4910
42,11.2450,225.3470,5.8670,242.4590
43,11.2050,225.3600,6.1010,242.6660
44,11.2030,225.4960,5.9050,242.6040
45,11.2040,225.3950,6.0370,242.6360
46,11.2010,225.5480,6.1720,242.9210
47,11.2160,225.5490,6.0690,242.8340
48,11.2170,225.4580,5.9280,242.6030
49,11.2150,225.4070,6.0350,242.6570
50,11.2370,225.5340,5.9110,242.6820
51,11.2090,225.5220,6.0900,242.8210
52,11.2120,225.4320,6.1610,242.8050
53,11.2400,225.4280,5.9960,242.6640
54,11.2270,225.4840,5.9570,242.6680
55,11.2360,225.4560,6.0530,242.7450
56,11.2310,225.4650,5.8560,242.5520
57,11.2430,225.3830,5.9050,242.5310
58,11.2230,225.4280,5.8960,242.5470
59,11.2380,225.6520,6.0690,242.9590
60,11.2370,225.4840,5.9330,242.6540
61,11.2230,225.5470,6.0470,242.8170
62,11.2280,225.4300,5.9440,242.6020
63,11.2430,225.5570,5.9200,242.7200
64,11.2160,225.4460,5.7380,242.4000
65,11.2420,225.4690,5.8270,242.5380
66,11.2570,225.4980,6.1670,242.9220
67,11.2740,225.4680,5.9910,242.7330
68,11.2600,225.3520,6.0750,242.6870
69,11.2190,225.4130,6.0820,242.7140
70,11.1810,225.5270,5.9140,242.6220
1,185.9810,1410.7760,1.4360,1598.1930
2,185.8160,1410.6030,1.3300,1597.7490
3,185.9310,1411.3950,1.5090,1598.8350
4,186.0530,1411.0190,1.4000,1598.4720
5,185.8220,1410.2660,1.4210,1597.5090
6,185.8470,1409.9180,1.4080,1597.1730
7,185.9760,1410.6960,1.4550,1598.1270
8,185.8970,1410.7740,1.3870,1598.0580
9,186.1070,1411.6630,1.4200,1599.1900
10,185.8340,1410.7210,1.4380,1597.9930
11,185.5380,1411.4310,1.3040,1598.2730
12,185.6110,1411.3640,1.4220,1598.3970
13,185.7460,1411.2020,1.2750,1598.2230
14,185.8340,1410.4110,1.3050,1597.5500
15,185.6230,1409.8300,1.3510,1596.8040
16,186.0630,1411.0560,1.2620,1598.3810
17,185.7310,1410.6520,1.4230,1597.8060
18,185.4790,1411.4210,1.3810,1598.2810
19,185.5770,1410.5630,1.3060,1597.4460
20,185.6060,1411.5350,1.4210,1598.5620
21,185.5090,1410.4330,1.4100,1597.3520
22,185.6700,1411.2290,1.4250,1598.3240
23,185.8770,1411.1920,1.3530,1598.4220
24,185.8150,1411.2150,1.3530,1598.3830
25,185.5030,1410.9080,1.3600,1597.7710
26,185.5270,1410.9440,1.4210,1597.8920
27,185.4930,1411.3780,1.5050,1598.3760
28,185.3780,1410.9550,1.4790,1597.8120
29,185.6830,1411.2250,1.2190,1598.1270
30,185.5680,1410.6470,1.4270,1597.6420
31,185.6150,1410.9880,1.3890,1597.9920
32,185.9680,1410.7340,1.3490,1598.0510
33,185.8800,1411.2950,1.3630,1598.5380
34,186.0710,1410.7560,1.3270,1598.1540
35,185.9750,1410.9490,1.3790,1598.3030
36,186.1870,1411.0980,1.5130,1598.7980
37,186.0650,1411.3860,1.3290,1598.7800
38,185.6340,1410.4400,1.3380,1597.4120
39,185.5250,1411.1640,1.3510,1598.0400
40,185.6350,1411.2190,1.4230,1598.2770
41,185.5600,1411.6360,1.3620,1598.5580
42,185.5470,1410.2470,1.4290,1597.2230
43,185.6180,1410.5250,1.4480,1597.5910
44,185.6040,1409.3960,1.3490,1596.3490
45,185.9570,1411.1550,1.3300,1598.4420
46,185.8660,1410.4980,1.4170,1597.7810
47,185.8290,1409.7550,1.3440,1596.9280
48,185.4830,1411.0710,1.3540,1597.9080
49,185.5010,1410.5080,1.4280,1597.4370
50,185.7460,1411.2590,1.4400,1598.4450
51,185.5360,1410.0690,1.3880,1596.9930
52,185.4840,1411.1750,1.3140,1597.9730
53,185.5460,1409.8520,1.3720,1596.7700
54,185.5790,1410.7860,1.5320,1597.8970
55,185.5160,1410.1470,1.4640,1597.1270
56,185.5180,1410.8460,1.2940,1597.6580
57,185.4450,1411.4070,1.3420,1598.1940
58,185.6120,1410.4210,1.4130,1597.4460
59,185.6800,1411.5590,1.3920,1598.6310
60,185.4600,1410.7950,1.3710,1597.6260
61,185.6170,1410.1470,1.4380,1597.2020
62,185.4060,1411.3590,1.4260,1598.1910
63,185.4880,1410.5680,1.2830,1597.3390
64,185.4930,1410.9490,1.3610,1597.8030
65,185.4310,1410.8180,1.4230,1597.6720
66,185.5170,1410.3160,1.3520,1597.1850
67,185.4750,1411.0500,1.2930,1597.8180
68,185.3220,1411.4120,1.4100,1598.1440
69,185.7240,1410.7340,1.3140,1597.7720
70,186.0670,1411.7350,1.3620,1599.1640
1,273.4930,2445.6250,2.0600,2721.1780
2,273.0040,2445.7130,2.0410,2720.7580
3,273.2150,2445.8810,2.0350,2721.1310
4,272.9070,2446.0330,2.0090,2720.9490
5,273.0010,2445.9880,2.0290,2721.0180
6,272.9960,2445.8940,2.1200,2721.0100
7,272.9710,2445.7430,2.0640,2720.7780
8,272.9230,2446.0400,2.0000,2720.9630
9,272.8470,2445.7470,1.9560,2720.5500
10,272.8580,2446.1250,2.0550,2721.0380
11,272.8520,2446.1290,1.9490,2720.9300
12,272.8390,2446.0530,2.0650,2720.9570
13,272.8980,2446.0930,2.0170,2721.0080
14,272.8260,2446.3190,1.9420,2721.0870
15,272.8400,2445.7630,2.1030,2720.7060
16,272.8430,2446.1040,1.9180,2720.8650
17,272.8480,2445.6350,2.0810,2720.5640
18,272.8330,2445.9260,2.0040,2720.7630
19,272.8230,2446.9350,2.0000,2721.7580
20,272.8580,2445.7230,2.0280,2720.6090
21,272.9450,2445.6220,2.0170,2720.5840
22,272.8300,2445.8390,2.0400,2720.7090
23,272.8400,2445.6310,2.0630,2720.5340
24,272.8220,2445.9040,2.0080,2720.7340
25,272.8410,2445.7970,2.0860,2720.7240
26,272.8630,2446.0770,2.0420,2720.9820
27,272.8370,2445.6730,2.0580,2720.5680
28,272.8690,2445.6290,1.9850,2720.4830
29,272.8450,2445.8990,2.0250,2720.7690
30,272.8250,2445.7940,1.9470,2720.5660
31,272.8260,2445.7000,2.0750,2720.6010
32,272.8300,2445.2680,2.0460,2720.1440
33,272.8400,2445.7030,2.0040,2720.5470
34,272.8260,2445.9210,2.0820,2720.8290
35,272.8660,2445.7380,2.0230,2720.6270
36,272.8420,2446.0440,1.9260,2720.8120
37,272.8250,2445.8130,1.9910,2720.6290
38,272.8280,2445.4890,2.0280,2720.3450
39,272.8260,2445.4850,2.0280,2720.3390
40,272.8320,2447.2520,2.0210,2722.1050
41,272.8200,2445.4940,1.9640,2720.2780
42,272.8460,2446.0960,1.9810,2720.9230
43,272.8280,2445.8800,1.9520,2720.6600
44,272.8500,2445.7660,2.0530,2720.6690
45,272.8510,2446.7240,1.9690,2721.5440
46,272.8410,2446.2390,2.0730,2721.1530
47,272.8210,2446.0520,2.0880,2720.9610
48,272.8510,2445.5350,1.9540,2720.3400
49,272.8520,2446.0020,2.0490,2720.9030
50,272.8760,2446.0850,2.1410,2721.1020
51,272.8360,2446.4290,2.0070,2721.2720
52,272.8200,2445.9750,1.9530,2720.7480
53,272.8190,2446.0820,2.0180,2720.9190
54,272.8360,2445.8510,2.0290,2720.7160
55,272.8280,2445.8160,2.0570,2720.7010
56,272.8230,2445.8360,2.0760,2720.7350
57,272.8740,2446.0180,2.0310,2720.9230
58,272.8180,2446.3630,2.0760,2721.2570
59,272.8550,2446.1810,2.0300,2721.0660
60,272.8300,2446.1360,2.0090,2720.9750
61,272.8530,2445.8360,2.0580,2720.7470
62,272.8290,2445.4410,2.0490,2720.3190
63,272.8310,2446.0300,2.1070,2720.9680
64,272.8770,2445.8350,2.0130,2720.7250
65,272.8440,2446.1790,2.0780,2721.1010
66,272.8380,2445.7580,1.9450,2720.5410
67,272.8350,2445.9880,2.0070,2720.8300
68,272.8290,2445.8540,2.1180,2720.8010
69,272.8260,2445.4720,2.0000,2720.2980
70,272.8350,2447.1990,2.0270,2722.0610
1,178.9900,2126.5270,2.9980,2308.5150
2,178.7340,2126.4780,2.9420,2308.1540
3,178.9030,2124.5360,2.7780,2306.2170
4,179.6090,2124.7140,3.0720,2307.3950
5,180.7800,2125.7800,2.8810,2309.4410
6,178.6250,2125.1600,2.8960,2306.6810
7,178.9930,2126.5600,2.9160,2308.4690
8,178.8250,2126.4330,2.9330,2308.1910
9,178.6320,2126.2190,2.9010,2307.7520
10,178.5860,2126.9050,2.9250,2308.4160
11,178.5950,2126.5420,2.9890,2308.1260
12,178.5340,2126.0550,2.8920,2307.4810
13,178.6230,2126.6770,2.8580,2308.1580
14,178.5610,2125.3210,2.9400,2306.8220
15,178.5300,2126.4830,2.8620,2307.8750
16,178.5820,2124.2370,2.9660,2305.7850
17,178.5740,2124.2130,2.9720,2305.7590
18,178.5700,2124.9790,2.9640,2306.5130
19,178.5470,2124.0190,2.8470,2305.4130
20,178.5450,2126.2480,2.8990,2307.6920
21,178.5750,2125.6230,2.8930,2307.0910
22,178.5880,2125.7130,2.9080,2307.2090
23,178.4990,2126.4820,2.9230,2307.9040
24,178.5740,2125.2490,2.8500,2306.6730
25,178.6070,2125.4510,2.9110,2306.9690
26,178.5140,2124.2000,3.0700,2305.7840
27,178.4790,2126.6550,2.9330,2308.0670
28,178.5800,2126.4170,2.9710,2307.9680
29,178.5010,2126.4340,3.0020,2307.9370
30,178.5680,2126.3120,2.9350,2307.8150
31,178.5730,2124.7480,2.9410,2306.2620
32,178.5270,2125.5750,3.0990,2307.2010
33,178.6500,2126.0570,2.8740,2307.5810
34,178.4850,2126.4530,2.8790,2307.8170
35,178.5070,2125.6810,2.9660,2307.1540
36,178.4860,2126.4530,2.9930,2307.9320
37,178.6570,2125.8440,2.8350,2307.3360
38,178.5370,2126.3000,3.1520,2307.9890
39,178.5320,2126.9710,2.9500,2308.4530
40,178.6280,2124.9820,2.9480,2306.5580
41,178.5140,2125.7920,2.8150,2307.1210
42,178.5080,2126.3580,2.9090,2307.7750
43,178.5430,2126.7460,3.0130,2308.3020
44,178.4900,2125.7160,2.9220,2307.1280
45,178.6250,2126.3380,2.9060,2307.8690
46,178.5590,2125.7960,2.7630,2307.1180
47,178.5730,2126.3180,3.0040,2307.8950
48,178.5600,2126.0510,3.0080,2307.6190
49,178.5640,2125.7660,2.9130,2307.2430
50,178.5750,2125.9170,3.0290,2307.5210
51,178.5030,2125.7080,2.9590,2307.1700
52,178.5040,2125.7280,2.8930,2307.1250
53,178.6050,2126.2530,3.0910,2307.9490
54,178.5330,2125.8650,3.0010,2307.3990
55,178.5580,2126.7100,2.9890,2308.2570
56,178.4650,2125.7460,3.0030,2307.2140
57,178.5170,2126.9580,3.0850,2308.5600
58,178.5490,2126.0100,2.9810,2307.5400
59,178.5630,2126.0310,2.9360,2307.5300
60,178.5640,2126.0500,2.9030,2307.5170
61,178.5070,2125.4940,2.9290,2306.9300
62,178.5290,2124.8240,2.9840,2306.3370
63,178.5050,2124.4750,3.0360,2306.0160
